q,err
3.9E-19,1.5E-19
3.9E-19,1.5E-19
1.6E-19,2E-20
1.6E-19,2E-20
1.6E-19,2E-20
1.6E-19,2E-20
4.1E-19,1.6E-19
4.1E-19,1.6E-19
4.1E-19,1.6E-19
3.0E-19,8E-20
2.8E-19,6E-20
2.8E-19,6E-20
5.6E-19,2.8E-19
5.6E-19,2.8E-19
6.7E-19,2.0E-19
6.7E-19,2.0E-19
7.7E-19,2.9E-19
7.7E-19,2.9E-19
7.7E-19,2.9E-19
7.7E-19,2.9E-19
1.7E-19,2E-20
1.7E-19,2E-20
1.7E-19,2E-20
5.3E-19,1.7E-19
5.3E-19,1.7E-19
3.0E-19,8E-20
3.0E-19,8E-20
3.0E-19,7E-20
3.0E-19,7E-20
7.7E-19,2.6E-19
7.7E-19,2.6E-19
7.7E-19,2.6E-19
